"","District","cluster_num","cluster_cat"
"1","BAGALKOT",2,"2_Average"
"2","BANGALORE RURAL",2,"2_Average"
"3","BELGAUM",1,"1_Bad"
"4","BELLARY",1,"1_Bad"
"5","BIDAR",1,"1_Bad"
"6","BIJAPUR",1,"1_Bad"
"7","CHAMRAJNAGAR",1,"1_Bad"
"8","CHIKMAGALUR",2,"2_Average"
"9","CHITRADURGA",1,"1_Bad"
"10","DAKSHIN KANNAD",3,"3_Good"
"11","DAVANGERE",1,"1_Bad"
"12","DHARWAD",1,"1_Bad"
"13","GADAG",1,"1_Bad"
"14","GULBARGA",1,"1_Bad"
"15","HASSAN",3,"3_Good"
"16","HAVERI",1,"1_Bad"
"17","KODAGU",2,"2_Average"
"18","KOLAR",1,"1_Bad"
"19","KOPPAL",1,"1_Bad"
"20","MANDYA",2,"2_Average"
"21","MYSORE",1,"1_Bad"
"22","RAICHUR",1,"1_Bad"
"23","SHIMOGA",3,"3_Good"
"24","TUMKUR",2,"2_Average"
"25","UDUPI",3,"3_Good"
"26","UTTAR KANNAD",3,"3_Good"
